merk;model;kleur;prijs_excl_rijklaar;prijs_incl_rijklaar;artikelnummer;omschrijving;levering
SYM;FIDDLE IV 25 KM/H E5+;Bronze Grey;2449,00;2699,00;FIV25-M5GY446S;FIDDLE IV E5+ 25 KM/H BRONZE GREY;Beperkte stock
SYM;JET 14 25 KM/H E5+;Black Gloss;2599,00;2849,00;J1425-M5BK5560S;JET 14 M5 E5+ 25 KM/H BLACK GLOSS;Week 44 leverbaar
SYM;JET 14 25 KM/H E5+;Mamba Green;2599,00;2849,00;J1425-M5GNR5605U;JET 14 M5 E5+ 25 KM/H MAMBA GREEN;Week 45 leverbaar
SYM;JET 14 25 KM/H E5+;Bronze Grey;2599,00;2849,00;J1425-M5GY446S;JET 14 M5 E5+ 25 KM/H BRONZE GREY;Week 45 leverbaar
SYM;ORBIT III 25 KM/H E5+;Tech Black;1849,00;2099,00;ORIII25-M5BK007U;ORBIT III M5 E5+ 25 KM/H TECH BLACK;Week 44 leverbaar
SYM;ORBIT III 25 KM/H E5+;Bronze Grey;1849,00;2099,00;ORIII25-M5GY446S;ORBIT III M5 E5+ 25 KM/H BRONZE GREY;Week 44 leverbaar
SYM;ORBIT III 25 KM/H E5+;Night Purple;1849,00;2099,00;ORIII25-M5PGN5477S;ORBIT III M5 E5+ 25 KM/H NIGHT PURPLE;Week 42 leverbaar
SYM;SYMPHONY 25 KM/H E5+;Mat Black;2499,00;2749,00;SY25-M6BK007U;SYMPHONY M6 E5+ 25 KM/H MAT BLACK;Beperkte stock
SYM;SYMPHONY 25 KM/H E5+;Space Grey;2499,00;2749,00;SY25-M6BK2593U;SYMPHONY M6 E5+ 25 KM/H SPACE GREY;Stock
SYM;SYMPHONY 25 KM/H E5+;Mamba Green;2499,00;2749,00;SY25-M6GNR5605U;SYMPHONY M6 E5+ 25 KM/H MAMBA GREEN;Week 39 leverbaar
SYM;XPRO 25 KM/H E5+;Black;2449,00;2699,00;XPR25-M5BK001C;X-PRO 25 KM/H M5 E5P BLACK (BK001C);Week 44 leverbaar
